790363316: not in active state
790363360: not in active state
790367944, SAPID:1111111111, rc:0
790367944, SCODE:102555TR, rc:0
790370373, SAPID:1111111111, rc:0
790370373, SCODE:102555TR, rc:0
790370377, SAPID:1111111111, rc:0
790370377, SCODE:102555TR, rc:0
790370396, SAPID:1111111111, rc:0
790370396, SCODE:102555TR, rc:0
790370399, SAPID:1111111111, rc:0
790370399, SCODE:102555TR, rc:0
790370405, SAPID:1111111111, rc:0
790370405, SCODE:102555TR, rc:0
790370406, SAPID:1111111111, rc:0
790370406, SCODE:102555TR, rc:0
790370413, SAPID:1111111111, rc:0
790370413, SCODE:102555TR, rc:0
790370427, SAPID:1111111111, rc:0
790370427, SCODE:102555TR, rc:0
790370429, SAPID:1111111111, rc:0
790370429, SCODE:102555TR, rc:0
790370442, SAPID:1111111111, rc:0
790370442, SCODE:102555TR, rc:0
790370483, SAPID:1111111111, rc:0
790370483, SCODE:102555TR, rc:0
790370486, SAPID:1111111111, rc:0
790370486, SCODE:102555TR, rc:0
790363799, SAPID:1111111111, rc:0
790363799, SCODE:102555TR, rc:0
790363808, SAPID:1111111111, rc:0
790363808, SCODE:102555TR, rc:0
790363815, SAPID:1111111111, rc:0
790363815, SCODE:102555TR, rc:0
790363818, SAPID:1111111111, rc:0
790363818, SCODE:102555TR, rc:0
790363853, SAPID:1111111111, rc:0
790363853, SCODE:102555TR, rc:0
790363861, SAPID:1111111111, rc:0
790363861, SCODE:102555TR, rc:0
790363867, SAPID:1111111111, rc:0
790363867, SCODE:102555TR, rc:0
790363879, SAPID:1111111111, rc:0
790363879, SCODE:102555TR, rc:0
790363885, SAPID:1111111111, rc:0
790363885, SCODE:102555TR, rc:0
790363891, SAPID:1111111111, rc:0
790363891, SCODE:102555TR, rc:0
790363895, SAPID:1111111111, rc:0
790363895, SCODE:102555TR, rc:0
790363896, SAPID:1111111111, rc:0
790363896, SCODE:102555TR, rc:0
790363905, SAPID:1111111111, rc:0
790363905, SCODE:102555TR, rc:0
790363910, SAPID:1111111111, rc:0
790363910, SCODE:102555TR, rc:0
790363917, SAPID:1111111111, rc:0
790363917, SCODE:102555TR, rc:0
790363918, SAPID:1111111111, rc:0
790363918, SCODE:102555TR, rc:0
790363921, SAPID:1111111111, rc:0
790363921, SCODE:102555TR, rc:0
790363929, SAPID:1111111111, rc:0
790363929, SCODE:102555TR, rc:0
790365942, SAPID:1111111111, rc:0
790365942, SCODE:102555TR, rc:0
790365945, SAPID:1111111111, rc:0
790365945, SCODE:102555TR, rc:0
790365950, SAPID:1111111111, rc:0
790365950, SCODE:102555TR, rc:0
790365951, SAPID:1111111111, rc:0
790365951, SCODE:102555TR, rc:0
790365970, SAPID:1111111111, rc:0
790365970, SCODE:102555TR, rc:0
790366001, SAPID:1111111111, rc:0
790366001, SCODE:102555TR, rc:0
790366014, SAPID:1111111111, rc:0
790366014, SCODE:102555TR, rc:0
790366058, SAPID:1111111111, rc:0
790366058, SCODE:102555TR, rc:0
790366060, SAPID:1111111111, rc:0
790366060, SCODE:102555TR, rc:0
790365972, SAPID:1111111111, rc:0
790365972, SCODE:102555TR, rc:0
790365997, SAPID:1111111111, rc:0
790365997, SCODE:102555TR, rc:0
790366004, SAPID:1111111111, rc:0
790366004, SCODE:102555TR, rc:0
790366050, SAPID:1111111111, rc:0
790366050, SCODE:102555TR, rc:0
790367955, SAPID:1111111111, rc:0
790367955, SCODE:102555TR, rc:0
790367978, SAPID:1111111111, rc:0
790367978, SCODE:102555TR, rc:0
790367986, SAPID:1111111111, rc:0
790367986, SCODE:102555TR, rc:0
790371307, SAPID:1111111111, rc:0
790371307, SCODE:102555TR, rc:0
790371318, SAPID:1111111111, rc:0
790371318, SCODE:102555TR, rc:0
790371320, SAPID:0, rc:0
790371320, SCODE:100694TP, rc:0
790371330, SAPID:0, rc:0
790371330, SCODE:100694TP, rc:0
790371381, SAPID:1111111111, rc:0
790371381, SCODE:102555TR, rc:0
790371408, SAPID:1111111111, rc:0
790371408, SCODE:102555TR, rc:0
790363962, SAPID:1111111111, rc:0
790363962, SCODE:102555TR, rc:0
790363971, SAPID:1111111111, rc:0
790363971, SCODE:102555TR, rc:0
790363982, SAPID:1111111111, rc:0
790363982, SCODE:102555TR, rc:0
790363989, SAPID:1111111111, rc:0
790363989, SCODE:102555TR, rc:0
790364029, SAPID:1111111111, rc:0
790364029, SCODE:102555TR, rc:0
790364060, SAPID:1111111111, rc:0
790364060, SCODE:102555TR, rc:0
790364064, SAPID:1111111111, rc:0
790364064, SCODE:102555TR, rc:0
790366085, SAPID:1111111111, rc:0
790366085, SCODE:102555TR, rc:0
790366097, SAPID:1111111111, rc:0
790366097, SCODE:102555TR, rc:0
790366115, SAPID:1111111111, rc:0
790366115, SCODE:102555TR, rc:0
790366124, SAPID:1111111111, rc:0
790366124, SCODE:102555TR, rc:0
790366160, SAPID:1111111111, rc:0
790366160, SCODE:102555TR, rc:0
790366174: not in active state
790366199, SAPID:1111111111, rc:0
790366199, SCODE:102555TR, rc:0
790371401, SAPID:1111111111, rc:0
790371401, SCODE:102555TR, rc:0
790371423, SAPID:1111111111, rc:0
790371423, SCODE:102555TR, rc:0
790371430: not in active state
790363946, SAPID:1111111111, rc:0
790363946, SCODE:102555TR, rc:0
790363949: not in active state
790363960, SAPID:0, rc:0
790363960, SCODE:101770TP, rc:0
